インフルエンザ,定点当たり報告数、神奈川県
2026年09月17日作成
,第1週,第2週,第3週,第4週,第5週,第6週,第7週,第8週,第9週,第10週,第11週,第12週,第13週,第14週,第15週,第16週,第17週,第18週,第19週,第20週,第21週,第22週,第23週,第24週,第25週,第26週,第27週,第28週,第29週,第30週,第31週,第32週,第33週,第34週,第35週,第36週,第37週
全県,4.79,9.19,9.85,18.24,36.56,55.79,49.55,40.22,21.72,13.19,11.26,8.28,5.09,2.02,1.06,0.66,0.37,0.22,0.09,0.12,0.07,0.1,0.07,0.04,0.1,0.17,0.16,0.19,0.34,0.31,0.51,0.93,1.37,1.99,2.99,5.87,9.45
横浜市,3.41,7.52,8.53,17.67,33.87,52.73,47.48,38.25,19.06,11.74,9.53,7.18,4.34,2.03,0.88,0.57,0.33,0.19,0.06,0.12,0.08,0.17,0.1,0.02,0.07,0.11,0.07,0.2,0.52,0.51,0.65,0.51,1.22,2.53,3.95,7.59,11.06
川崎市,5.81,9.03,9.77,18.12,38.83,53.38,43.54,34.59,19.95,12.85,12.26,8.51,5.37,2,1.5,0.75,0.35,0.35,0.08,0.16,0.1,0.05,0.1,0.08,0.18,0.2,0.36,0.22,0.41,0.25,0.57,1.61,1.93,1.58,2.87,5.61,9.52
相模原市,2.5,14.63,13.44,23.06,41.06,58.75,41.38,41,21.69,15.19,13.06,11.31,7.63,2.44,0.76,0.76,0.21,0.12,0.12,0.06,-,0.12,-,-,0.12,0.12,-,0.18,0.12,0.12,0.65,1.18,0.09,1.29,1.31,5.65,7.94
県域,6.79,9.94,10.57,17.99,36.96,60.47,58.05,46.54,26.01,14.61,12.01,8.7,5.19,1.92,0.99,0.66,0.45,0.18,0.13,0.09,0.05,0.05,0.03,0.04,0.06,0.21,0.14,0.16,0.14,0.2,0.27,0.81,1.36,1.85,2.41,4.25,7.94
横須賀市,9.5,6.78,9.89,14.44,25.11,45.78,48.33,37.11,27.89,15.56,12.44,10.11,5.11,2,1,0.11,0.11,-,0.22,0.11,-,-,-,0.11,-,-,-,-,0.22,0.33,-,0.38,1.14,1.89,3.88,3.56,4.33
藤沢市,5.57,5.53,4.47,11.47,27.6,40.87,48.4,36.13,17.07,10.6,7,4.53,2.6,1.13,0.47,0.13,0.07,0.13,0.2,0.07,-,0.07,-,-,-,-,0.13,0.27,0.2,0.07,0.21,0.86,1.93,1.53,1.47,3.31,6.33
茅ケ崎市,15.67,10,13.14,22.29,47,80.57,69.14,48.71,24.86,11.14,8.86,4.29,3,0.57,0.29,0.14,0.14,0.29,-,-,-,0.14,-,-,0.29,-,0.29,0.57,0.29,0.29,0.14,0.29,0.6,1.33,2.29,7.71,10.43
平塚,4.86,13.14,14.43,25,52.71,60.71,46.57,42.71,18.86,13.14,9.29,8,7.57,3.71,1.29,1.29,0.43,0.14,-,-,0.14,-,-,-,-,-,-,0.29,-,0.29,0.14,0.57,1.5,0.71,0.57,1.29,5.43
平塚　秦野センター,1,11.86,16.71,24.71,48.29,96.57,85.71,57.43,29.57,16.43,8.43,7,4,1.71,1.43,0.86,0.57,0.29,0.14,0.14,0.14,-,-,-,0.14,2.43,0.57,0.29,-,0.14,0.29,0.57,1.43,4.14,2.43,3.57,8.57
鎌倉,2.5,4,4,7.67,22.67,33,32,33.6,17.6,13.4,12.8,8.67,2.6,0.5,0.6,-,0.5,-,-,-,-,-,-,0.17,0.17,-,-,0.17,0.33,-,0.17,0.33,1.5,1.17,2.33,1.33,4.33
小田原,3,9,9,16,27,40.5,39.4,51.8,33,21.4,19.6,17.6,8.8,2,0.8,0.2,0.4,-,-,-,-,0.4,-,-,-,-,0.2,-,0.2,0.6,0.2,2,0.6,0.6,0.4,1.4,3.8
厚木,17.4,16.77,16.46,23.38,49.62,86.62,86.23,73.62,45.23,21.69,23.92,15.62,10.08,3.92,2.38,2.08,1.46,0.54,0.31,0.15,0.15,-,0.15,0.08,0.08,-,0.08,-,-,0.23,0.75,1.08,2,1.92,3.31,9.69,18.23
